Customer_ID,Customer_Name,Gender,Age_Group,Region_ID,Signup_Date,Acquisition_Channel,Customer_Segment,City,State,Region
1,Customer_1,Female,35-44,7,2024-07-20,Referral,Platinum,Bengaluru,Karnataka,South
2,Customer_2,Male,45-54,1,2023-06-01,Organic,Gold,Delhi NCR,Delhi,North
3,Customer_3,Other,18-24,11,2023-04-05,Organic,Bronze,Patna,Bihar,East
4,Customer_4,Male,18-24,10,2023-05-22,Paid Ads,Silver,Kolkata,West Bengal,East
5,Customer_5,Female,18-24,10,2022-09-16,Paid Ads,Platinum,Kolkata,West Bengal,East
6,Customer_6,Female,25-34,10,2023-06-09,Organic,Silver,Kolkata,West Bengal,East
7,Customer_7,Male,55+,1,2023-09-30,Referral,Platinum,Delhi NCR,Delhi,North
8,Customer_8,Other,25-34,2,2024-03-23,Paid Ads,Bronze,Jaipur,Rajasthan,North
9,Customer_9,Other,55+,2,2023-09-10,Organic,Gold,Jaipur,Rajasthan,North
10,Customer_10,Female,35-44,2,2024-12-27,Referral,Bronze,Jaipur,Rajasthan,North
11,Customer_11,Female,18-24,7,2024-05-10,Referral,Platinum,Bengaluru,Karnataka,South
12,Customer_12,Female,25-34,12,2022-11-10,Referral,Platinum,Indore,Madhya Pradesh,Central
13,Customer_13,Female,55+,5,2024-08-10,Referral,Silver,Pune,Maharashtra,West
14,Customer_14,Female,45-54,4,2022-06-27,Social Media,Platinum,Mumbai,Maharashtra,West
15,Customer_15,Male,45-54,6,2023-11-20,Paid Ads,Platinum,Ahmedabad,Gujarat,West
16,Customer_16,Female,35-44,6,2023-03-11,Referral,Gold,Ahmedabad,Gujarat,West
17,Customer_17,Other,25-34,2,2022-01-21,Paid Ads,Platinum,Jaipur,Rajasthan,North
18,Customer_18,Other,25-34,12,2024-09-27,Social Media,Platinum,Indore,Madhya Pradesh,Central
19,Customer_19,Male,18-24,5,2024-07-06,Paid Ads,Platinum,Pune,Maharashtra,West
20,Customer_20,Female,55+,6,2023-05-14,Social Media,Gold,Ahmedabad,Gujarat,West
21,Customer_21,Other,55+,6,2024-05-21,Referral,Platinum,Ahmedabad,Gujarat,West
22,Customer_22,Female,35-44,4,2023-07-09,Organic,Silver,Mumbai,Maharashtra,West
23,Customer_23,Male,55+,12,2023-10-09,Paid Ads,Silver,Indore,Madhya Pradesh,Central
24,Customer_24,Other,45-54,5,2023-03-20,Referral,Bronze,Pune,Maharashtra,West
25,Customer_25,Female,25-34,6,2023-02-02,Paid Ads,Gold,Ahmedabad,Gujarat,West
26,Customer_26,Other,55+,3,2022-01-29,Referral,Bronze,Lucknow,Uttar Pradesh,North
27,Customer_27,Other,35-44,12,2022-04-22,Paid Ads,Platinum,Indore,Madhya Pradesh,Central
28,Customer_28,Male,55+,5,2022-07-30,Social Media,Platinum,Pune,Maharashtra,West
29,Customer_29,Female,25-34,1,2024-06-21,Referral,Platinum,Delhi NCR,Delhi,North
30,Customer_30,Male,45-54,8,2022-08-22,Organic,Bronze,Hyderabad,Telangana,South
31,Customer_31,Male,55+,5,2022-11-07,Organic,Silver,Pune,Maharashtra,West
32,Customer_32,Other,45-54,10,2022-08-31,Paid Ads,Platinum,Kolkata,West Bengal,East
33,Customer_33,Female,35-44,10,2024-07-11,Social Media,Gold,Kolkata,West Bengal,East
34,Customer_34,Other,18-24,4,2022-05-04,Paid Ads,Gold,Mumbai,Maharashtra,West
35,Customer_35,Male,25-34,3,2022-06-16,Organic,Silver,Lucknow,Uttar Pradesh,North
36,Customer_36,Female,45-54,12,2022-01-06,Social Media,Gold,Indore,Madhya Pradesh,Central
37,Customer_37,Male,35-44,12,2022-03-08,Referral,Platinum,Indore,Madhya Pradesh,Central
38,Customer_38,Other,25-34,5,2022-05-26,Paid Ads,Platinum,Pune,Maharashtra,West
39,Customer_39,Other,25-34,11,2022-08-24,Paid Ads,Gold,Patna,Bihar,East
40,Customer_40,Male,18-24,3,2022-10-19,Referral,Gold,Lucknow,Uttar Pradesh,North
41,Customer_41,Male,45-54,12,2024-06-18,Referral,Platinum,Indore,Madhya Pradesh,Central
42,Customer_42,Other,55+,8,2023-07-12,Social Media,Bronze,Hyderabad,Telangana,South
43,Customer_43,Female,35-44,10,2022-03-23,Referral,Bronze,Kolkata,West Bengal,East
44,Customer_44,Male,55+,10,2022-07-07,Organic,Gold,Kolkata,West Bengal,East
45,Customer_45,Male,45-54,9,2022-03-24,Social Media,Gold,Chennai,Tamil Nadu,South
46,Customer_46,Other,45-54,11,2023-01-07,Social Media,Bronze,Patna,Bihar,East
47,Customer_47,Female,45-54,6,2024-08-20,Referral,Bronze,Ahmedabad,Gujarat,West
48,Customer_48,Female,45-54,12,2022-11-26,Social Media,Gold,Indore,Madhya Pradesh,Central
49,Customer_49,Other,18-24,8,2024-03-31,Organic,Gold,Hyderabad,Telangana,South
50,Customer_50,Female,18-24,7,2023-06-01,Organic,Platinum,Bengaluru,Karnataka,South
51,Customer_51,Male,25-34,9,2024-04-26,Referral,Platinum,Chennai,Tamil Nadu,South
52,Customer_52,Male,25-34,5,2024-06-24,Paid Ads,Gold,Pune,Maharashtra,West
53,Customer_53,Other,45-54,2,2024-06-16,Organic,Silver,Jaipur,Rajasthan,North
54,Customer_54,Female,55+,1,2022-11-21,Social Media,Bronze,Delhi NCR,Delhi,North
55,Customer_55,Male,45-54,2,2023-04-06,Paid Ads,Platinum,Jaipur,Rajasthan,North
56,Customer_56,Other,35-44,7,2023-08-21,Social Media,Platinum,Bengaluru,Karnataka,South
57,Customer_57,Female,55+,3,2023-05-15,Social Media,Silver,Lucknow,Uttar Pradesh,North
58,Customer_58,Other,25-34,2,2024-11-06,Referral,Platinum,Jaipur,Rajasthan,North
59,Customer_59,Other,35-44,1,2023-11-28,Referral,Gold,Delhi NCR,Delhi,North
60,Customer_60,Male,45-54,9,2024-09-29,Social Media,Gold,Chennai,Tamil Nadu,South
61,Customer_61,Other,55+,7,2023-11-12,Social Media,Gold,Bengaluru,Karnataka,South
62,Customer_62,Other,25-34,10,2023-01-22,Social Media,Silver,Kolkata,West Bengal,East
63,Customer_63,Male,35-44,12,2024-04-21,Social Media,Platinum,Indore,Madhya Pradesh,Central
64,Customer_64,Other,25-34,8,2024-03-01,Organic,Silver,Hyderabad,Telangana,South
65,Customer_65,Other,35-44,2,2024-10-25,Social Media,Bronze,Jaipur,Rajasthan,North
66,Customer_66,Female,18-24,12,2024-12-13,Paid Ads,Platinum,Indore,Madhya Pradesh,Central
67,Customer_67,Male,45-54,5,2022-11-13,Referral,Platinum,Pune,Maharashtra,West
68,Customer_68,Female,55+,7,2022-06-14,Referral,Platinum,Bengaluru,Karnataka,South
69,Customer_69,Other,18-24,4,2022-03-15,Referral,Silver,Mumbai,Maharashtra,West
70,Customer_70,Female,18-24,11,2022-07-05,Organic,Platinum,Patna,Bihar,East
71,Customer_71,Other,35-44,1,2022-12-07,Organic,Gold,Delhi NCR,Delhi,North
72,Customer_72,Female,35-44,6,2022-04-25,Social Media,Silver,Ahmedabad,Gujarat,West
73,Customer_73,Other,45-54,10,2023-05-16,Paid Ads,Silver,Kolkata,West Bengal,East
74,Customer_74,Male,55+,7,2022-12-25,Paid Ads,Platinum,Bengaluru,Karnataka,South
75,Customer_75,Male,45-54,11,2022-10-21,Referral,Platinum,Patna,Bihar,East
76,Customer_76,Other,18-24,8,2023-06-07,Referral,Silver,Hyderabad,Telangana,South
77,Customer_77,Female,35-44,10,2022-06-01,Referral,Platinum,Kolkata,West Bengal,East
78,Customer_78,Female,35-44,4,2023-05-28,Social Media,Platinum,Mumbai,Maharashtra,West
79,Customer_79,Male,45-54,10,2022-08-07,Referral,Gold,Kolkata,West Bengal,East
80,Customer_80,Male,45-54,5,2023-08-28,Organic,Bronze,Pune,Maharashtra,West
81,Customer_81,Female,25-34,10,2024-10-14,Referral,Silver,Kolkata,West Bengal,East
82,Customer_82,Other,35-44,11,2023-01-25,Paid Ads,Bronze,Patna,Bihar,East
83,Customer_83,Female,45-54,1,2022-03-22,Referral,Silver,Delhi NCR,Delhi,North
84,Customer_84,Female,35-44,12,2022-07-04,Social Media,Silver,Indore,Madhya Pradesh,Central
85,Customer_85,Male,55+,6,2023-02-16,Referral,Silver,Ahmedabad,Gujarat,West
86,Customer_86,Female,35-44,12,2023-06-11,Referral,Bronze,Indore,Madhya Pradesh,Central
87,Customer_87,Male,25-34,4,2024-08-17,Social Media,Gold,Mumbai,Maharashtra,West
88,Customer_88,Female,18-24,5,2022-07-04,Organic,Platinum,Pune,Maharashtra,West
89,Customer_89,Other,35-44,10,2024-01-25,Social Media,Gold,Kolkata,West Bengal,East
90,Customer_90,Other,25-34,8,2022-08-10,Organic,Gold,Hyderabad,Telangana,South
