Product_ID,Product_Name,Category,Subcategory,Brand,Base_Price,Base_Cost,Margin_Band
1,Smartphones Pro 1,Electronics,Smartphones,Apex,19039.74,11611.52,Mid
2,Smartphones Pro 2,Electronics,Smartphones,Nova,36733.7,24988.77,Mid
3,Smartphones Pro 3,Electronics,Smartphones,Apex,8222.92,7632.19,Low
4,Smartphones Pro 4,Electronics,Smartphones,Vertex,3375.14,2115.42,Mid
5,Smartphones Pro 5,Electronics,Smartphones,Omni,30255.19,25743.23,Low
6,Smartphones Pro 6,Electronics,Smartphones,Apex,1518.93,1236.73,Low
7,Smartphones Pro 7,Electronics,Smartphones,Vertex,41705.91,38380.8,Low
8,Smartphones Pro 8,Electronics,Smartphones,Vertex,9500.34,7251.79,Mid
9,Smartphones Pro 9,Electronics,Smartphones,Vertex,15559.99,13638.86,Low
10,Smartphones Pro 10,Electronics,Smartphones,Omni,21881.28,16230.53,Mid
11,Laptops Pro 1,Electronics,Laptops,Apex,30786.72,23770.46,Mid
12,Laptops Pro 2,Electronics,Laptops,Nova,14961.16,10872.69,Mid
13,Laptops Pro 3,Electronics,Laptops,Zenith,23075.46,14836.71,Mid
14,Laptops Pro 4,Electronics,Laptops,Nova,10383.85,9117.1,Low
15,Laptops Pro 5,Electronics,Laptops,Zenith,29824.52,17617.64,High
16,Laptops Pro 6,Electronics,Laptops,Omni,30573.47,28314.9,Low
17,Laptops Pro 7,Electronics,Laptops,Zenith,3720.05,3039.86,Low
18,Laptops Pro 8,Electronics,Laptops,Apex,48298.79,30830.11,Mid
19,Laptops Pro 9,Electronics,Laptops,Vertex,15578.38,12158.39,Mid
20,Laptops Pro 10,Electronics,Laptops,Omni,34369.53,30533.16,Low
21,Accessories Pro 1,Electronics,Accessories,Zenith,6540.89,5760.4,Low
22,Accessories Pro 2,Electronics,Accessories,Vertex,2202.23,920.83,High
23,Accessories Pro 3,Electronics,Accessories,Zenith,13309.61,6222.18,High
24,Accessories Pro 4,Electronics,Accessories,Apex,15929.7,11086.85,Mid
25,Accessories Pro 5,Electronics,Accessories,Nova,27562.16,25470.75,Low
26,Accessories Pro 6,Electronics,Accessories,Apex,48494.44,31277.62,Mid
27,Accessories Pro 7,Electronics,Accessories,Apex,47005.2,19790.81,High
28,Accessories Pro 8,Electronics,Accessories,Omni,30096.05,18527.88,Mid
29,Accessories Pro 9,Electronics,Accessories,Zenith,4880.38,3713.01,Mid
30,Accessories Pro 10,Electronics,Accessories,Zenith,2738.75,2477.07,Low
31,Audio Pro 1,Electronics,Audio,Zenith,19739.53,18002.67,Low
32,Audio Pro 2,Electronics,Audio,Apex,41522.51,30255.35,Mid
33,Audio Pro 3,Electronics,Audio,Nova,14406.26,9961.36,Mid
34,Audio Pro 4,Electronics,Audio,Nova,7475.75,4781.19,Mid
35,Audio Pro 5,Electronics,Audio,Omni,4190.26,3401.8,Low
36,Audio Pro 6,Electronics,Audio,Vertex,38726.12,35712.44,Low
37,Audio Pro 7,Electronics,Audio,Zenith,773.34,646.39,Low
38,Audio Pro 8,Electronics,Audio,Apex,35489.44,16119.25,High
39,Audio Pro 9,Electronics,Audio,Apex,38677.88,36343.04,Low
40,Audio Pro 10,Electronics,Audio,Omni,18244.05,10523.65,High
41,Men's Wear Pro 1,Fashion,Men's Wear,Nova,43223.62,37290.67,Low
42,Men's Wear Pro 2,Fashion,Men's Wear,Vertex,16879.45,9913.11,High
43,Men's Wear Pro 3,Fashion,Men's Wear,Zenith,15893.62,8502.51,High
44,Men's Wear Pro 4,Fashion,Men's Wear,Omni,36615.51,31516.5,Low
45,Men's Wear Pro 5,Fashion,Men's Wear,Omni,44417.03,31338.75,Mid
46,Men's Wear Pro 6,Fashion,Men's Wear,Nova,6419.92,5457.86,Low
47,Men's Wear Pro 7,Fashion,Men's Wear,Vertex,38158.86,33252.44,Low
48,Men's Wear Pro 8,Fashion,Men's Wear,Vertex,38662.88,27111.99,Mid
49,Men's Wear Pro 9,Fashion,Men's Wear,Vertex,26375.28,18844.92,Mid
50,Men's Wear Pro 10,Fashion,Men's Wear,Nova,1758.25,1368.66,Mid
51,Women's Wear Pro 1,Fashion,Women's Wear,Nova,2055.74,971.79,High
52,Women's Wear Pro 2,Fashion,Women's Wear,Apex,16060.62,11214.9,Mid
