Order_ID,Order_Line_ID,Date,Customer_ID,Product_ID,Region_ID,Channel_ID,Quantity,Unit_Price,Unit_Cost,Discount_Pct,Discount_Amount,Gross_Revenue,Net_Revenue,Total_Cost,Profit,Shipping_Cost
100000,100000_1,2024-07-03,429,280,9,4,4,37879.29,25604.06,0.0813,12318.59,151517.16,139198.57,102783.08,36415.49,366.84
100000,100000_2,2024-07-03,429,121,9,4,3,47052.7,38416.18,0.0961,13570.54,141158.1,127587.56,115394.37,12193.18,145.83
100000,100000_3,2024-07-03,429,248,9,4,5,23453.07,17105.02,0.1055,12369.23,117265.35,104896.12,85636.47,19259.65,111.37
100001,100001_1,2023-06-16,872,193,7,1,2,36886.02,16204.17,0.1257,9272.31,73772.04,64499.73,32464.89,32034.85,56.55
100002,100002_1,2023-11-28,405,59,12,4,1,40281.77,22665.99,0.3386,13637.4,40281.77,26644.37,22873.75,3770.61,207.76
100002,100002_2,2023-11-28,405,254,12,4,2,45590.9,38061.32,0.3126,28504.93,91181.8,62676.87,76438.1,-13761.24,315.46
100002,100002_3,2023-11-28,405,269,12,4,4,42557.55,31940.73,0.264,44938.48,170230.2,125291.72,127989.43,-2697.71,226.51
100003,100003_1,2026-01-25,818,152,6,1,1,27261.44,18333.7,0.0935,2550.25,27261.44,24711.19,18580.56,6130.62,246.86
100003,100003_2,2026-01-25,818,151,6,1,3,3058.25,1509.94,0.1022,938.1,9174.75,8236.65,4986.69,3249.96,456.87
100004,100004_1,2026-06-13,1155,73,2,2,3,14599.6,8652.06,0.1023,4481.72,43798.8,39317.08,26162.89,13154.19,206.71
100004,100004_2,2026-06-13,1155,105,2,2,5,750.55,426.19,0.1452,544.9,3752.75,3207.85,2412.25,795.61,281.3
100005,100005_1,2025-01-30,1239,242,7,3,4,22999.78,15513.09,0.0711,6537.62,91999.12,85461.5,62455.0,23006.5,402.64
100005,100005_2,2025-01-30,1239,170,7,3,2,23971.6,22444.69,0.0664,3184.57,47943.2,44758.63,45117.82,-359.19,228.44
100005,100005_3,2025-01-30,1239,243,7,3,1,29423.56,18235.79,0.0818,2405.93,29423.56,27017.63,18565.73,8451.9,329.94
100006,100006_1,2024-01-03,964,3,5,1,3,8222.92,7632.19,0.1201,2963.86,24668.76,21704.9,23334.63,-1629.74,438.06
100007,100007_1,2024-02-13,193,170,6,4,1,23971.6,22444.69,0.0561,1345.07,23971.6,22626.53,22921.97,-295.44,477.28
100007,100007_2,2024-02-13,193,240,6,4,5,48480.48,42506.05,0.0656,15912.58,242402.4,226489.82,212646.43,13843.39,116.18
100007,100007_3,2024-02-13,193,180,6,4,5,47041.4,22810.62,0.1383,32537.2,235207.0,202669.8,114520.06,88149.74,466.96
100008,100008_1,2024-12-07,1901,141,6,2,3,44555.26,40219.18,0.2321,31020.55,133665.78,102645.23,120928.99,-18283.76,271.45
100008,100008_2,2024-12-07,1901,219,6,2,5,4101.77,2607.2,0.2229,4572.09,20508.85,15936.76,13202.21,2734.55,166.21
100009,100009_1,2025-01-22,1571,131,10,4,5,30942.86,25106.8,0.1041,16106.02,154714.3,138608.28,125790.61,12817.67,256.61
100009,100009_2,2025-01-22,1571,104,10,4,1,5522.84,3685.39,0.1093,603.45,5522.84,4919.39,4176.4,742.99,491.01
100009,100009_3,2025-01-22,1571,53,10,4,2,45424.54,34074.84,0.078,7086.1,90849.08,83762.98,68421.36,15341.63,271.68
100010,100010_1,2024-06-22,210,268,7,2,5,38564.88,23564.95,0.1145,22075.12,192824.4,170749.28,118022.69,52726.59,197.94
100010,100010_2,2024-06-22,210,197,7,2,3,18914.9,15913.14,0.1076,6103.78,56744.7,50640.92,48074.45,2566.47,335.03
100010,100010_3,2024-06-22,210,142,7,2,5,19091.36,17885.59,0.1168,11154.1,95456.8,84302.7,89586.02,-5283.31,158.07
100011,100011_1,2025-08-27,345,119,5,1,2,14398.23,8568.92,0.0591,1702.84,28796.46,27093.62,17221.98,9871.64,84.14
100012,100012_1,2026-06-13,294,244,11,2,1,2749.6,2045.17,0.0823,226.38,2749.6,2523.22,2153.17,370.05,108.0
100013,100013_1,2023-04-17,1048,218,3,4,4,4663.29,3076.87,0.0827,1542.78,18653.16,17110.38,12415.1,4695.28,107.62
100014,100014_1,2025-10-21,494,194,3,4,4,14460.71,11055.39,0.2206,12761.55,57842.84,45081.29,44339.92,741.38,118.36
100014,100014_2,2025-10-21,494,182,3,4,3,23183.52,11380.25,0.2339,16265.44,69550.56,53285.12,34253.22,19031.9,112.47
100015,100015_1,2024-10-11,1809,86,1,2,3,34039.44,27118.62,0.2211,22581.91,102118.32,79536.41,81694.25,-2157.84,338.39
100015,100015_2,2024-10-11,1809,224,1,2,5,49307.05,32016.27,0.1942,47868.44,246535.25,198666.81,160213.2,38453.62,131.85
100016,100016_1,2026-11-24,1143,179,10,4,2,1812.31,875.06,0.2525,915.32,3624.62,2709.3,1955.67,753.63,205.55
100016,100016_2,2026-11-24,1143,188,10,4,4,4023.84,2157.6,0.3271,5264.38,16095.36,10830.98,9083.95,1747.02,453.55
100016,100016_3,2026-11-24,1143,178,10,4,4,3993.15,1882.84,0.2714,4334.61,15972.6,11637.99,7794.64,3843.35,263.28
100016,100016_4,2026-11-24,1143,98,10,4,4,17281.97,12618.57,0.2874,19868.78,69127.88,49259.1,50824.68,-1565.58,350.4
100016,100016_5,2026-11-24,1143,6,10,4,2,1518.93,1236.73,0.2942,893.76,3037.86,2144.1,2601.0,-456.91,127.54
100017,100017_1,2025-12-13,12,169,12,3,1,42845.3,28246.55,0.2411,10330.18,42845.3,32515.12,28383.08,4132.04,136.53
100017,100017_2,2025-12-13,12,130,12,3,5,28718.03,26891.43,0.2422,34771.27,143590.15,108818.88,134525.54,-25706.66,68.39
100017,100017_3,2025-12-13,12,140,12,3,1,35247.36,22587.97,0.2147,7568.38,35247.36,27678.98,22713.99,4964.99,126.02
100018,100018_1,2026-08-07,816,130,12,1,3,28718.03,26891.43,0.1125,9694.66,86154.09,76459.43,80849.66,-4390.23,175.37
100018,100018_2,2026-08-07,816,16,12,1,4,30573.47,28314.9,0.1497,18310.23,122293.88,103983.65,113389.25,-9405.6,129.65
100019,100019_1,2026-07-18,1005,243,4,2,5,29423.56,18235.79,0.1307,19234.63,147117.8,127883.17,91268.87,36614.3,89.92
100019,100019_2,2026-07-18,1005,20,4,2,3,34369.53,30533.16,0.0529,5452.76,103108.59,97655.83,91703.77,5952.06,104.29
100020,100020_1,2026-12-31,1446,68,3,2,1,47174.03,25255.06,0.192,9055.4,47174.03,38118.63,25512.41,12606.22,257.35
100020,100020_2,2026-12-31,1446,62,3,2,1,16241.17,12635.46,0.1943,3156.27,16241.17,13084.9,12778.31,306.59,142.85
100020,100020_3,2026-12-31,1446,32,3,2,3,41522.51,30255.35,0.1597,19899.36,124567.53,104668.17,90979.97,13688.2,213.92
100021,100021_1,2026-01-19,1747,9,7,2,3,15559.99,13638.86,0.1337,6242.39,46679.97,40437.58,41193.12,-755.54,276.54
100021,100021_2,2026-01-19,1747,163,7,2,2,47765.83,40443.06,0.1406,13429.12,95531.66,82102.54,81246.8,855.74,360.68
100022,100022_1,2026-04-16,1934,265,10,3,1,3290.59,2063.38,0.1441,474.02,3290.59,2816.57,2131.07,685.5,67.69
100022,100022_2,2026-04-16,1934,207,10,3,4,47555.05,32590.07,0.1338,25446.07,190220.2,164774.13,130770.01,34004.11,409.73
100022,100022_3,2026-04-16,1934,32,10,3,1,41522.51,30255.35,0.0693,2877.26,41522.51,38645.25,30587.91,8057.34,332.56
100023,100023_1,2025-10-24,1493,43,4,3,2,15893.62,8502.51,0.1943,6177.53,31787.24,25609.71,17091.81,8517.9,86.79
100023,100023_2,2025-10-24,1493,142,4,3,5,19091.36,17885.59,0.1699,16215.09,95456.8,79241.71,89871.06,-10629.35,443.11
100023,100023_3,2025-10-24,1493,259,4,3,4,19134.94,12205.97,0.1673,12804.86,76539.76,63734.9,49288.27,14446.63,464.39
100024,100024_1,2023-01-07,561,61,3,3,3,40468.29,25121.97,0.0966,11730.77,121404.87,109674.1,75443.4,34230.7,77.49
100024,100024_2,2023-01-07,561,45,3,3,5,44417.03,31338.75,0.143,31764.24,222085.15,190320.91,156868.34,33452.57,174.59
100025,100025_1,2023-06-30,1881,94,1,1,1,40952.5,35721.71,0.0686,2807.94,40952.5,38144.56,36134.5,2010.05,412.79
100026,100026_1,2026-04-25,1978,87,12,1,1,25848.61,19507.97,0.0718,1854.7,25848.61,23993.91,19894.69,4099.22,386.72
100026,100026_2,2026-04-25,1978,192,12,1,4,31632.67,19754.78,0.0581,7354.91,126530.68,119175.77,79152.15,40023.61,133.03
100026,100026_3,2026-04-25,1978,127,12,1,3,42631.27,38608.19,0.1337,17103.35,127893.81,110790.46,115968.78,-5178.31,144.21
100027,100027_1,2026-08-08,1531,159,7,2,1,20743.17,19202.76,0.0879,1823.97,20743.17,18919.2,19419.47,-500.27,216.71
