Year,Month,Region_ID,Revenue_Target,Profit_Target
2023,1,1,1049120.06,157368.01
2023,1,2,846165.7,126924.85
2023,1,3,850897.27,127634.59
2023,1,4,828755.16,124313.27
2023,1,5,1077434.43,161615.16
2023,1,6,997629.03,149644.35
2023,1,7,1047092.49,157063.87
2023,1,8,1151720.42,172758.06
2023,1,9,1096131.39,164419.71
2023,1,10,984689.17,147703.38
2023,1,11,1193742.4,179061.36
2023,1,12,982502.44,147375.37
2023,2,1,844980.27,126747.04
2023,2,2,1197061.9,179559.28
2023,2,3,809128.29,121369.24
2023,2,4,1019953.42,152993.01
2023,2,5,923638.2,138545.73
2023,2,6,1001420.86,150213.13
2023,2,7,1023485.18,153522.78
2023,2,8,896038.36,134405.75
2023,2,9,1022743.5,153411.53
2023,2,10,1102424.44,165363.67
2023,2,11,906603.93,135990.59
2023,2,12,953370.45,143005.57
2023,3,1,907297.08,136094.56
2023,3,2,1128223.89,169233.58
2023,3,3,1089992.9,163498.94
2023,3,4,1148478.57,172271.79
2023,3,5,868019.96,130202.99
2023,3,6,829431.86,124414.78
2023,3,7,847753.4,127163.01
2023,3,8,864407.33,129661.1
2023,3,9,1013233.06,151984.96
2023,3,10,1188364.83,178254.72
2023,3,11,942894.17,141434.12
2023,3,12,1183403.31,177510.5
2023,4,1,815280.32,122292.05
2023,4,2,1170748.88,175612.33
2023,4,3,872461.04,130869.16
2023,4,4,1164989.99,174748.5
2023,4,5,822490.97,123373.65
2023,4,6,1179287.78,176893.17
2023,4,7,880319.31,132047.9
2023,4,8,921085.62,138162.84
2023,4,9,996376.94,149456.54
2023,4,10,952288.35,142843.25
2023,4,11,1067011.19,160051.68
2023,4,12,1189923.11,178488.47
2023,5,1,1042570.6,156385.59
2023,5,2,1088594.16,163289.12
2023,5,3,835202.1,125280.32
2023,5,4,1051124.97,157668.75
2023,5,5,981539.91,147230.99
2023,5,6,1154312.94,173146.94
2023,5,7,955284.44,143292.67
2023,5,8,1071781.66,160767.25
2023,5,9,891261.49,133689.22
2023,5,10,903749.01,135562.35
2023,5,11,950448.97,142567.35
2023,5,12,921625.42,138243.81
2023,6,1,901551.54,135232.73
2023,6,2,819867.48,122980.12
2023,6,3,1134698.53,170204.78
2023,6,4,825720.61,123858.09
2023,6,5,1154946.21,173241.93
2023,6,6,850186.16,127527.92
2023,6,7,826104.69,123915.7
2023,6,8,1025201.91,153780.29
2023,6,9,1000976.72,150146.51
2023,6,10,996493.83,149474.07
2023,6,11,1029801.73,154470.26
2023,6,12,914822.64,137223.4
2023,7,1,1065179.71,159776.96
2023,7,2,1000960.89,150144.13
2023,7,3,933897.39,140084.61
2023,7,4,1130600.27,169590.04
2023,7,5,1091088.44,163663.27
2023,7,6,957444.14,143616.62
2023,7,7,1139047.11,170857.07
2023,7,8,1168103.3,175215.5
2023,7,9,1014746.51,152211.98
2023,7,10,885980.98,132897.15
2023,7,11,1166316.86,174947.53
2023,7,12,875791.85,131368.78
2023,8,1,819369.29,122905.39
2023,8,2,930994.8,139649.22
2023,8,3,1090786.54,163617.98
2023,8,4,1169309.63,175396.45
2023,8,5,1054914.26,158237.14
2023,8,6,1180735.42,177110.31
2023,8,7,836948.34,125542.25
2023,8,8,824301.49,123645.22
2023,8,9,1041676.78,156251.52
2023,8,10,1186446.53,177966.98
2023,8,11,1001088.52,150163.28
2023,8,12,820606.09,123090.91
2023,9,1,888487.46,133273.12
2023,9,2,897917.16,134687.57
2023,9,3,935142.85,140271.43
2023,9,4,817441.35,122616.2
2023,9,5,1161957.08,174293.56
2023,9,6,1006225.58,150933.84
2023,9,7,1068372.32,160255.85
2023,9,8,826869.13,124030.37
2023,9,9,821646.19,123246.93
2023,9,10,1034587.11,155188.07
2023,9,11,1154918.4,173237.76
2023,9,12,1011392.8,151708.92
2023,10,1,1151127.67,172669.15
2023,10,2,1124396.51,168659.48
2023,10,3,830341.51,124551.23
2023,10,4,880782.99,132117.45
2023,10,5,1063084.27,159462.64
2023,10,6,977400.55,146610.08
2023,10,7,916279.93,137441.99
2023,10,8,967453.54,145118.03
2023,10,9,978079.86,146711.98
2023,10,10,1164220.9,174633.14
2023,10,11,841383.31,126207.5
2023,10,12,911892.3,136783.84
2023,11,1,1015025.93,152253.89
2023,11,2,1079314.77,161897.22
2023,11,3,1052254.92,157838.24
2023,11,4,1176657.1,176498.56
2023,11,5,1118243.57,167736.54
2023,11,6,1022830.74,153424.61
2023,11,7,885873.08,132880.96
2023,11,8,980349.69,147052.45
2023,11,9,1077352.9,161602.93
2023,11,10,1135184.87,170277.73
2023,11,11,1183894.49,177584.17
2023,11,12,1042181.11,156327.17
2023,12,1,1010767.75,151615.16
2023,12,2,807076.77,121061.52
2023,12,3,828839.63,124325.94
2023,12,4,862442.0,129366.3
2023,12,5,821903.97,123285.6
2023,12,6,960345.3,144051.79
2023,12,7,934751.42,140212.71
2023,12,8,1054941.66,158241.25
2023,12,9,1014266.04,152139.91
2023,12,10,1038388.3,155758.25
2023,12,11,988790.88,148318.63
2023,12,12,911094.86,136664.23
2024,1,1,1181130.13,177169.52
2024,1,2,834563.66,125184.55
2024,1,3,1175556.4,176333.46
2024,1,4,924495.22,138674.28
2024,1,5,1005064.58,150759.69
2024,1,6,843536.93,126530.54
2024,1,7,828372.43,124255.86
2024,1,8,971818.18,145772.73
2024,1,9,1096678.95,164501.84
2024,1,10,907745.91,136161.89
2024,1,11,1024939.16,153740.87
2024,1,12,911460.14,136719.02
2024,2,1,955445.22,143316.78
2024,2,2,1162578.53,174386.78
2024,2,3,1142335.85,171350.38
2024,2,4,1006407.02,150961.05
2024,2,5,895242.25,134286.34
2024,2,6,877273.57,131591.03
2024,2,7,1181634.94,177245.24
2024,2,8,881086.64,132163.0
2024,2,9,1123267.32,168490.1
2024,2,10,947588.08,142138.21
2024,2,11,1194263.94,179139.59
2024,2,12,947262.3,142089.34
2024,3,1,940606.65,141091.0
2024,3,2,1054985.45,158247.82
2024,3,3,1184606.72,177691.01
2024,3,4,1190483.84,178572.58
2024,3,5,1082882.46,162432.37
2024,3,6,1101842.55,165276.38
2024,3,7,1025360.87,153804.13
2024,3,8,1102310.3,165346.54
2024,3,9,1143911.86,171586.78
2024,3,10,994438.12,149165.72
2024,3,11,1047944.91,157191.74
2024,3,12,1014926.68,152239.0
2024,4,1,1024988.25,153748.24
2024,4,2,1156019.16,173402.87
2024,4,3,942246.73,141337.01
2024,4,4,883273.61,132491.04
2024,4,5,982512.04,147376.81
2024,4,6,883234.08,132485.11
2024,4,7,999360.17,149904.03
2024,4,8,1161403.24,174210.49
2024,4,9,1046973.41,157046.01
2024,4,10,1142173.14,171325.97
2024,4,11,866476.37,129971.46
2024,4,12,1160349.44,174052.42
2024,5,1,1040714.87,156107.23
2024,5,2,812703.92,121905.59
2024,5,3,1053247.58,157987.14
2024,5,4,1180558.78,177083.82
2024,5,5,831666.8,124750.02
2024,5,6,1032982.45,154947.37
2024,5,7,1166191.44,174928.72
2024,5,8,803878.07,120581.71
2024,5,9,1052365.17,157854.78
2024,5,10,989960.92,148494.14
2024,5,11,938795.73,140819.36
2024,5,12,1051014.6,157652.19
2024,6,1,821080.84,123162.13
2024,6,2,1101225.22,165183.78
2024,6,3,801791.79,120268.77
2024,6,4,922774.3,138416.14
2024,6,5,1001583.46,150237.52
2024,6,6,950808.9,142621.34
2024,6,7,922990.37,138448.56
2024,6,8,1132334.06,169850.11
2024,6,9,1173933.03,176089.95
2024,6,10,1149485.07,172422.76
2024,6,11,1008972.53,151345.88
2024,6,12,1153665.67,173049.85
2024,7,1,1168344.63,175251.69
2024,7,2,963695.36,144554.3
2024,7,3,913378.34,137006.75
2024,7,4,839306.08,125895.91
2024,7,5,991636.77,148745.52
2024,7,6,1178518.77,176777.82
2024,7,7,1024363.01,153654.45
2024,7,8,1067024.84,160053.73
2024,7,9,845153.53,126773.03
2024,7,10,857407.87,128611.18
2024,7,11,985789.3,147868.4
2024,7,12,1180505.92,177075.89
2024,8,1,944313.86,141647.08
2024,8,2,1150993.62,172649.04
2024,8,3,848115.44,127217.32
2024,8,4,1046806.88,157021.03
2024,8,5,1040245.19,156036.78
2024,8,6,1143949.9,171592.49
2024,8,7,801326.68,120199.0
2024,8,8,875972.67,131395.9
2024,8,9,887875.05,133181.26
2024,8,10,1179986.44,176997.97
2024,8,11,861477.46,129221.62
2024,8,12,814784.94,122217.74
2024,9,1,1013784.6,152067.69
2024,9,2,1011423.38,151713.51
2024,9,3,1137618.79,170642.82
2024,9,4,1179543.86,176931.58
2024,9,5,1015418.18,152312.73
2024,9,6,1171997.67,175799.65
2024,9,7,1090063.66,163509.55
2024,9,8,905823.65,135873.55
2024,9,9,1171368.28,175705.24
2024,9,10,1066977.27,160046.59
2024,9,11,965638.37,144845.76
2024,9,12,1072096.83,160814.53
2024,10,1,960525.13,144078.77
2024,10,2,845673.51,126851.03
2024,10,3,1087591.5,163138.72
2024,10,4,1129635.04,169445.26
2024,10,5,1091522.48,163728.37
2024,10,6,891645.87,133746.88
2024,10,7,1182654.01,177398.1
2024,10,8,810101.82,121515.27
2024,10,9,933074.12,139961.12
2024,10,10,904036.97,135605.55
2024,10,11,819250.49,122887.57
2024,10,12,962291.88,144343.78
2024,11,1,1049245.94,157386.89
2024,11,2,1153021.15,172953.17
2024,11,3,1195875.89,179381.38
2024,11,4,1123235.83,168485.38
2024,11,5,987472.21,148120.83
2024,11,6,1089481.77,163422.27
2024,11,7,1137449.52,170617.43
2024,11,8,986122.88,147918.43
2024,11,9,1114021.77,167103.27
2024,11,10,993060.97,148959.15
2024,11,11,954598.4,143189.76
